
1445564132.437:  AA AA 04 80 02 FE 5C 23
1445564132.437:  AA AA 04 80 02 01 57 25
1445564132.466:  AA AA 04 80 02 02 61 1A
1445564132.466:  AA AA 04 80 02 FE A9 D6
1445564132.467:  AA AA 04 80 02 FD 0C 74
1445564132.467:  AA AA 04 80 02 00 86 F7
1445564132.467:  AA AA 04 80 02 03 25 55
1445564132.467:  AA AA 04 80 02 00 50 2D
1445564132.467:  AA AA 04 80 02 FD 8A F6
1445564132.467:  AA AA 04 80 02 FE FA 85
1445564132.467:  AA AA 04 80 02 02 26 55
1445564132.467:  AA AA 04 80 02 01 25 57
1445564132.467:  AA AA 04 80 02 FD D8 A8
1445564132.467:  AA AA 04 80 02 FE 8C F3
1445564132.467:  AA AA 04 80 02 02 74 07
1445564132.467:  AA AA 04 80 02 02 51 2A
1445564132.467:  AA AA 04 80 02 FE C2 BD
1445564132.467:  AA AA 04 80 02 FD 82 FE
1445564132.471:  AA AA 04 80 02 00 35 48
1445564132.471:  AA AA 04 80 02 02 08 73
1445564132.479:  AA AA 04 80 02 FF 24 5A
1445564132.479:  AA AA 04 80 02 FD 68 18
1445564132.479:  AA AA 04 80 02 00 F1 8C
1445564132.479:  AA AA 04 80 02 04 58 21
1445564132.479:  AA AA 04 80 02 01 AB D1
1445564132.487:  AA AA 04 80 02 FD FE 82
1445564132.488:  AA AA 04 80 02 FE 78 07
1445564132.497:  AA AA 04 80 02 01 EB 91
1445564132.497:  AA AA 04 80 02 01 C8 B4
1445564132.497:  AA AA 04 80 02 FE 1B 64
1445564132.497:  AA AA 04 80 02 FD F5 8B
1445564132.497:  AA AA 04 80 02 01 F9 83
1445564132.497:  AA AA 04 80 02 02 C0 BB
1445564132.497:  AA AA 04 80 02 FF 3A 44
1445564132.502:  AA AA 04 80 02 FD 5A 26
1445564132.502:  AA AA 04 80 02 FF C2 BC
1445564132.550:  AA AA 04 80 02 02 56 25
1445564132.550:  AA AA 04 80 02 00 11 6C
1445564132.550:  AA AA 04 80 02 FD EF 91
1445564132.550:  AA AA 04 80 02 00 E6 97
1445564132.550:  AA AA 04 80 02 04 C6 B3
1445564132.550:  AA AA 04 80 02 02 F7 84
1445564132.550:  AA AA 04 80 02 FF 3E 40
1445564132.550:  AA AA 04 80 02 FF 16 68
1445564132.550:  AA AA 04 80 02 02 2A 51
1445564132.550:  AA AA 04 80 02 02 56 25
1445564132.550:  AA AA 04 80 02 FE FB 84
1445564132.550:  AA AA 04 80 02 01 56 26
1445564132.550:  AA AA 04 80 02 03 4A 30
1445564132.550:  AA AA 04 80 02 FE BE C1
1445564132.551:  AA AA 04 80 02 FA F3 90
1445564132.551:  AA AA 04 80 02 FB BA C8
1445564132.560:  AA AA 04 80 02 FF 7D 01
1445564132.560:  AA AA 04 80 02 01 D5 A7
1445564132.560:  AA AA 04 80 02 FE A3 DC
1445564132.560:  AA AA 04 80 02 FB 25 5D
1445564132.560:  AA AA 04 80 02 FD 84 FC
1445564132.560:  AA AA 04 80 02 02 96 E5
1445564132.560:  AA AA 04 80 02 02 4C 2F
1445564132.560:  AA AA 04 80 02 FE BB C4
1445564132.561:  AA AA 04 80 02 FD 7A 06
1445564132.565:  AA AA 04 80 02 FF 96 E8
1445564132.565:  AA AA 04 80 02 00 13 6A
1445564132.565:  AA AA 04 80 02 FC A4 DD
1445564132.565:  AA AA 04 80 02 FC 09 78
1445564132.565:  AA AA 04 80 02 00 61 1C
1445564132.565:  AA AA 04 80 02 03 46 34
1445564132.565:  AA AA 04 80 02 00 51 2C
1445564132.569:  AA AA 04 80 02 FD 04 7C
1445564132.569:  AA AA 04 80 02 FD C8 B8
1445564132.573:  AA AA 04 80 02 00 6B 12
1445564132.573:  AA AA 04 80 02 FE DB A4
1445564132.582:  AA AA 04 80 02 FB 7B 07
1445564132.582:  AA AA 04 80 02 FC A6 DB
1445564132.582:  AA AA 04 80 02 01 20 5C
1445564132.582:  AA AA 04 80 02 01 38 44
1445564132.582:  AA AA 04 80 02 FD DF A1
1445564132.597:  AA AA 04 80 02 FC FE 83
1445564132.597:  AA AA 04 80 02 FF EC 92
1445564132.597:  AA AA 04 80 02 01 9C E0
1445564132.597:  AA AA 04 80 02 FE 56 29
1445564132.597:  AA AA 04 80 02 FC 7B 06
1445564132.597:  AA AA 04 80 02 FF C9 B5
1445564132.597:  AA AA 04 80 02 03 15 65
1445564132.597:  AA AA 04 80 02 00 C8 B5
1445564132.613:  AA AA 04 80 02 FD D3 AD
1445564132.613:  AA AA 04 80 02 FE 73 0C
1445564132.613:  AA AA 04 80 02 01 3C 40
1445564132.613:  AA AA 04 80 02 00 57 26
1445564132.614:  AA AA 04 80 02 FC AC D5
1445564132.614:  AA AA 04 80 02 FD 0E 72
1445564132.614:  AA AA 04 80 02 01 86 F6
1445564132.614:  AA AA 04 80 02 02 93 E8
1445564132.617:  AA AA 04 80 02 FF 43 3B
1445564132.617:  AA AA 04 80 02 FD A4 DC
1445564132.630:  AA AA 04 80 02 00 4B 32
1445564132.631:  AA AA 04 80 02 02 F4 87
1445564132.631:  AA AA 04 80 02 00 76 07
1445564132.631:  AA AA 04 80 02 FD DC A4
1445564132.631:  AA AA 04 80 02 00 76 07
1445564132.631:  AA AA 04 80 02 03 F1 89
1445564132.631:  AA AA 04 80 02 01 C3 B9
1445564132.635:  AA AA 04 80 02 FD C5 BB
1445564132.635:  AA AA 04 80 02 FD B8 C8
1445564132.648:  AA AA 04 80 02 01 3C 40
1445564132.648:  AA AA 04 80 02 01 81 FB
1445564132.648:  AA AA 04 80 02 FD AA D6
1445564132.648:  AA AA 04 80 02 FC F8 89
1445564132.648:  AA AA 04 80 02 00 E9 94
1445564132.648:  AA AA 04 80 02 02 AB D0
1445564132.648:  AA AA 04 80 02 FF CB B3
1445564132.653:  AA AA 04 80 02 FD DE A2
1445564132.653:  AA AA 04 80 02 FF B3 CB
1445564132.683:  AA AA 04 80 02 02 4A 31
1445564132.683:  AA AA 04 80 02 00 20 5D
1445564132.683:  AA AA 04 80 02 FD 46 3A
1445564132.683:  AA AA 04 80 02 FF 5B 23
1445564132.683:  AA AA 04 80 02 03 39 41
1445564132.683:  AA AA 04 80 02 01 E2 9A
1445564132.683:  AA AA 04 80 02 FE 6F 10
1445564132.683:  AA AA 04 80 02 FE 4B 34
1445564132.683:  AA AA 04 80 02 01 A4 D8
1445564132.683:  AA AA 04 80 02 02 C0 BB
1445564132.683:  AA AA 04 80 02 FF 6F 0F
1445564132.683:  AA AA 04 80 02 FE 45 3A
1445564132.683:  AA AA 04 80 02 01 EA 92
1445564132.683:  AA AA 04 80 02 04 4D 2C
1445564132.683:  AA AA 04 80 02 01 70 0C
1445564132.697:  AA AA 04 80 02 FE BA C5
1445564132.698:  AA AA 04 80 02 00 1A 63
1445564132.698:  AA AA 04 80 02 03 14 66
1445564132.698:  AA AA 04 80 02 01 D6 A6
1445564132.698:  AA AA 04 80 02 FE B4 CB
1445564132.698:  AA AA 04 80 02 00 1A 63
1445564132.698:  AA AA 04 80 02 04 92 E7
1445564132.698:  AA AA 04 80 02 04 4A 2F
1445564132.702:  AA AA 04 80 02 00 37 46
1445564132.702:  AA AA 04 80 02 FE C7 B8
1445564132.714:  AA AA 04 80 02 01 90 EC
1445564132.714:  AA AA 04 80 02 03 0A 70
1445564132.714:  AA AA 04 80 02 FF DA A4
1445564132.714:  AA AA 04 80 02 FD F7 89
1445564132.714:  AA AA 04 80 02 01 30 4C
1445564132.714:  AA AA 04 80 02 04 27 52
1445564132.714:  AA AA 04 80 02 01 84 F8
1445564132.720:  AA AA 04 80 02 FE 38 47
1445564132.720:  AA AA 04 80 02 FF 0F 6F
1445564132.732:  AA AA 04 80 02 02 67 14
1445564132.732:  AA AA 04 80 02 01 D4 A8
1445564132.732:  AA AA 04 80 02 FE 6E 11
1445564132.732:  AA AA 04 80 02 FF 06 78
1445564132.733:  AA AA 04 80 02 03 55 25
1445564132.733:  AA AA 04 80 02 03 CC AE
1445564132.733:  AA AA 04 80 02 00 2B 52
1445564132.737:  AA AA 04 80 02 FE 72 0D
1445564132.737:  AA AA 04 80 02 00 CA B3
1445564132.750:  AA AA 04 80 02 02 DC 9F
1445564132.750:  AA AA 04 80 02 00 36 47
1445564132.750:  AA AA 04 80 02 FD F8 88
1445564132.750:  AA AA 04 80 02 00 E4 99
1445564132.750:  AA AA 04 80 02 04 5D 1C
1445564132.750:  AA AA 04 80 02 02 2C 4F
1445564132.750:  AA AA 04 80 02 FE A2 DD
1445564132.754:  AA AA 04 80 02 FE E3 9C
1445564132.754:  AA AA 04 80 02 02 2A 51
1445564132.766:  AA AA 04 80 02 02 4A 31
1445564132.766:  AA AA 04 80 02 FE CD B2
1445564132.766:  AA AA 04 80 02 FE 99 E6
1445564132.766:  AA AA 04 80 02 02 B5 C6
1445564132.766:  AA AA 04 80 02 04 32 47
1445564132.766:  AA AA 04 80 02 00 E4 99
1445564132.768:  AA AA 04 80 02 FE D8 A7
1445564132.799:  AA AA 04 80 02 00 E2 9B
1445564132.799:  AA AA 04 80 02 03 5C 1E
1445564132.799:  AA AA 04 80 02 01 81 FB
1445564132.799:  AA AA 04 80 02 FF 43 3B
1445564132.799:  AA AA 04 80 02 01 E8 94
1445564132.799:  AA AA 04 80 02 06 14 63
1445564132.799:  AA AA 04 80 02 04 E0 99
1445564132.799:  AA AA 04 80 02 01 38 44
1445564132.799:  AA AA 04 80 02 00 E8 95
1445564132.799:  AA AA 04 80 02 04 16 63
1445564132.799:  AA AA 04 80 02 04 A0 D9
1445564132.799:  AA AA 04 80 02 00 C4 B9
1445564132.799:  AA AA 04 80 02 FF 72 0C
1445564132.799:  AA AA 04 80 02 02 A4 D7
1445564132.799:  AA AA 04 80 02 03 E5 95
1445564132.799:  AA AA 04 80 02 00 19 64
1445564132.803:  AA AA 04 80 02 FD 09 77
1445564132.803:  AA AA 04 80 02 FE 52 2D
1445564132.808:  AA AA 04 80 02 00 F3 8A
1445564132.808:  AA AA 04 80 02 FF 32 4C
1445564132.851:  AA AA 04 80 02 FB D9 A9
1445564132.851:  AA AA 04 80 02 FD 2B 55
1445564132.851:  AA AA 04 80 02 01 74 08
1445564132.851:  AA AA 04 80 02 01 28 54
1445564132.851:  AA AA 04 80 02 FD DD A3
1445564132.851:  AA AA 04 80 02 FD 34 4C
1445564132.853:  AA AA 04 80 02 00 28 55
1445564132.853:  AA AA 04 80 02 01 B4 C8
1445564132.853:  AA AA 04 80 02 FE 64 1B
1445564132.853:  AA AA 04 80 02 FC 77 0A
1445564132.853:  AA AA 04 80 02 FF CB B3
1445564132.853:  AA AA 04 80 02 02 B7 C4
1445564132.854:  AA AA 04 80 02 00 09 74
1445564132.854:  AA AA 04 80 02 FD 34 4C
1445564132.854:  AA AA 04 80 02 FE 54 2B
1445564132.854:  AA AA 04 80 02 01 7B 01
1445564132.860:  AA AA 04 80 02 00 A7 D6
1445564132.860:  AA AA 04 80 02 FD 52 2E
1445564132.860:  AA AA 04 80 02 FE 0C 73
1445564132.860:  AA AA 04 80 02 02 4A 31
1445564132.860:  AA AA 04 80 02 02 96 E5
1445564132.860:  AA AA 04 80 02 FE FC 83
1445564132.860:  AA AA 04 80 02 FD 8D F3
1445564132.861:  AA AA 04 80 02 00 34 49
1445564132.861:  AA AA 04 80 02 02 6C 0F
1445564132.871:  AA AA 04 80 02 FF BB C3
1445564132.872:  AA AA 04 80 02 FD 4A 36
1445564132.872:  AA AA 04 80 02 00 20 5D
