DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 20:03:29.27437,1573890,6554066,5308455,6422589,8847419,12386337,8912925,11599890,41,37
2016/02/13/ 20:03:30.25879,1578022,15466708,8585458,6815823,2424897,9961523,8388701,16449568,34,53
2016/02/13/ 20:03:31.29009,1573387,13959368,15007799,13893639,9568267,12320784,11665451,8781838,26,60
2016/02/13/ 20:03:32.24327,1574624,1901610,4587708,7077991,6815860,7012413,6684762,8847391,23,51
2016/02/13/ 20:03:33.24332,1574488,5243440,2097329,2490409,7733298,393281,4194390,4128812,26,57
2016/02/13/ 20:03:34.25899,1573589,13762636,16252953,2555923,2883591,2818070,16580611,13107203,35,50
2016/02/13/ 20:03:35.25904,1578566,8913437,4849714,15794330,8323116,9175100,5373984,2621447,38,51
2016/02/13/ 20:03:36.21220,1575134,6095443,12255345,3735932,9502865,13828273,5767267,8650786,51,57
2016/02/13/ 20:03:37.22788,1576230,11076117,7667781,524408,9044120,393298,12451875,15007772,54,54
2016/02/13/ 20:03:38.22792,1573666,11337814,10223630,12517392,786440,15269903,9,8781829,51,51
2016/02/13/ 20:03:39.20586,1575003,7209170,11599955,15073316,4390924,6750267,3801117,1048603,60,54
2016/02/13/ 20:03:40.21016,1573040,1769563,1703956,10158088,4587529,6815761,2818054,5505028,57,48
2016/02/13/ 20:03:41.19459,1576029,8389443,5636839,1310934,15270114,524421,3014877,9896078,53,60
2016/02/13/ 20:03:42.21026,1576156,10224622,6357069,8519719,6815826,3407916,4653080,16187420,40,50
2016/02/13/ 20:03:43.19468,1579399,14680379,7012448,9109510,1572897,10747956,5111837,15925256,37,44
2016/02/13/ 20:03:44.16348,1576232,13370174,7733783,4980892,6357235,15401079,7078060,15990874,29,51
2016/02/13/ 20:03:45.16353,1576296,8257711,3407928,15728677,7274511,10747917,14155786,6225922,24,47
2016/02/13/ 20:03:46.15438,1572972,8257568,4587532,13369356,10354707,1900552,15794179,5505026,38,57
2016/02/13/ 20:03:47.18788,1580954,15205315,9568509,3014973,6750320,9765008,2883776,10420267,37,63
2016/02/13/ 20:03:48.16024,1574660,9241872,4391098,10813508,14614666,12452062,11927663,13434919,43,53
2016/02/13/ 20:03:49.14972,1574494,14942371,10944625,7733284,9502734,655404,3014677,6160416,54,56
2016/02/13/ 20:03:50.17678,1574042,9764911,5701654,983056,65558,4456463,1376264,7340039,57,57
2016/02/13/ 20:03:51.14153,1574470,918396,14876780,15073288,12714016,12386368,5308450,14,53,47
2016/02/13/ 20:03:52.12891,1575953,11665691,5177429,8716322,6422581,8388653,14286898,5636110,51,51
2016/02/13/ 20:03:53.13744,1576855,3540157,6684958,14876775,15007849,15990883,1442191,15728723,41,43
2016/02/13/ 20:03:54.12028,1578721,11796988,10027435,1638685,2490555,8126663,9240695,14090280,40,50
2016/02/13/ 20:03:55.11718,1573562,1704412,1572919,10747948,12386322,7929907,7798804,3735566,41,53
2016/02/13/ 20:03:56.13269,1574859,6357108,7864396,4128849,524333,3276842,8716309,4653089,44,61
2016/02/13/ 20:03:57.16579,1573506,3866668,3473425,5046283,5177359,4128779,10420241,6160388,53,64
2016/02/13/ 20:03:58.10746,1576491,6816755,2425320,10420843,7536965,12976253,9240672,8781857,41,63
2016/02/13/ 20:03:59.10428,1574589,14354236,5636432,6881403,8454278,15728738,1114248,12910688,35,64
2016/02/13/ 20:04:00.10244,1577700,9896690,10879211,8781960,4718786,13697095,524394,15007820,24,57
2016/02/13/ 20:04:01.11135,1575829,16646341,9109506,12517389,9961482,2883620,12648457,2555919,27,41
2016/02/13/ 20:04:02.11408,1575954,5639086,13566340,5833146,7930043,12976320,10813505,1114195,26,30
2016/02/13/ 20:04:03.13890,1575557,9306431,8585233,4259920,15007766,12714006,7929873,14155785,29,34
2016/02/13/ 20:04:04.06710,1581141,4064728,983276,15335792,6160517,9961617,786494,1900643,29,34
2016/02/13/ 20:04:05.07051,1573399,10289244,1966099,1900556,10027028,15138828,1245192,5439490,23,44
2016/02/13/ 20:04:06.07251,1577359,3146033,1310746,7405808,9240727,13697121,11468899,10944665,37,53
2016/02/13/ 20:04:07.05573,1573868,16515936,9437457,6160660,12452035,179,5111884,655400,47,56
2016/02/13/ 20:04:08.06028,1580031,14615087,15335973,3277201,10223862,4063300,10289252,1769522,43,66
2016/02/13/ 20:04:09.05636,1574874,6095145,10027084,6422623,917579,14614630,7602300,458816,51,69
2016/02/13/ 20:04:10.08356,1574586,3145918,11141198,5308519,15007762,9568287,3407924,14876691,43,74
2016/02/13/ 20:04:11.07120,1572951,1441796,2293767,13565953,9961477,4325377,7602177,2686978,41,80
2016/02/13/ 20:04:12.03017,1573082,3473565,16318482,2031634,12648522,13434899,16580617,12124170,50,61
2016/02/13/ 20:04:13.00777,1577568,16122356,8650937,8388666,11468997,11403401,6815810,15335448,48,60
2016/02/13/ 20:04:14.03845,1575067,786634,262239,7012382,9895961,9895986,11468832,7995408,53,56
2016/02/13/ 20:04:15.03480,1585703,1247072,589888,14090317,7537050,6488348,4391011,7733367,56,30
2016/02/13/ 20:04:15.99847,1573197,15073335,14286851,11927566,7602183,2424843,13041669,8060932,61,35
2016/02/13/ 20:04:17.01615,1576038,3408248,7798831,10944546,9240635,11141162,12714015,3735588,53,29
2016/02/13/ 20:04:17.98984,1579835,5115254,4587709,1966217,12452072,12976270,12386637,2097218,38,16
2016/02/13/ 20:04:18.98500,1575662,5770341,12255415,12779818,7995792,9765171,16253089,11141418,30,23
2016/02/13/ 20:04:19.97744,1573173,327736,9437196,10616834,6160413,4915212,15597579,11862022,35,20
2016/02/13/ 20:04:20.96634,1574076,6423143,15990811,12779594,2228291,10027088,3080231,10485771,37,17
2016/02/13/ 20:04:21.98504,1572918,851984,8978434,13828103,10616834,9699333,15335432,5373953,56,30
2016/02/13/ 20:04:22.97898,1576488,4063403,131139,1114176,10617113,3670103,2818115,15663127,69,38
2016/02/13/ 20:04:23.99023,1573662,2097326,9961482,10289174,1703968,2490393,10092566,11403272,64,37
2016/02/13/ 20:04:24.98121,1574887,11010116,32,851988,14155789,5898275,13172778,11927566,75,48
2016/02/13/ 20:04:25.93858,1580059,66521,6226605,8388788,8454245,5767612,6357045,16318529,77,51
2016/02/13/ 20:04:26.95390,1575775,5964049,15007749,8060987,5439507,10223648,6357002,9109518,64,50
2016/02/13/ 20:04:27.93838,1573869,16253192,983049,11468830,65590,3997774,262164,9961481,74,44
2016/02/13/ 20:04:28.92181,1577199,7537028,13697190,5439578,13238358,4391114,2621676,11075627,75,44
2016/02/13/ 20:04:29.93786,1574491,6619227,1638419,458787,196697,11403342,917516,9830414,83,35
2016/02/13/ 20:04:30.90637,1573459,10223901,12451887,7929928,458782,5439668,3866652,851986,97,35
2016/02/13/ 20:04:31.92782,1578921,6620533,6423206,14876901,2949173,5243354,13173254,10748042,96,50
2016/02/13/ 20:04:32.92752,1573154,13959377,11534490,15335452,12582935,7602393,10682431,3604499,100,48
2016/02/13/ 20:04:33.90673,1573188,6357120,655395,1900549,15138838,16252966,458779,10092559,93,50
2016/02/13/ 20:04:34.88192,1574060,15270274,8323107,5898301,13828128,15007833,3932352,6422569,83,48
2016/02/13/ 20:04:35.89926,1575630,3409025,15007905,6553894,8781902,13631855,6750666,6488226,84,44
2016/02/13/ 20:04:36.90624,1574730,9306758,5505068,5242929,15335463,65667,8126591,11665454,75,34
2016/02/13/ 20:04:37.88016,1574996,3932419,4588040,1638497,7602208,13828328,196672,13762621,77,48
2016/02/13/ 20:04:38.86413,1573937,7864852,9109737,10813526,9371723,2097309,14286867,7667737,77,54
2016/02/13/ 20:04:39.86317,1577078,14090760,5636117,15401091,16712410,11272820,16187593,12189776,90,43
2016/02/13/ 20:04:40.86293,1578983,12714395,1900583,7274661,786495,13828139,10420232,3801116,77,53
2016/02/13/ 20:04:41.87259,1573542,65679,7471199,12320927,12320957,3932237,9306162,13631511,70,50
2016/02/13/ 20:04:42.85803,1574405,9961802,14680128,4456620,1835044,6357220,9175134,5242905,80,48
2016/02/13/ 20:04:43.86286,1575230,548,13893801,7864388,9371709,8257813,2687017,3604493,69,57
2016/02/13/ 20:04:44.82265,1573107,15204479,8912918,4980767,4915257,10485792,3276816,15859716,81,54
2016/02/13/ 20:04:45.84548,1576888,525832,5046441,10420914,8389130,4587976,6226083,2687134,81,50
2016/02/13/ 20:04:46.84456,1577207,14484935,1900741,12779604,10486073,9699504,7667870,9830431,66,41
2016/02/13/ 20:04:47.83574,1573659,9764982,8978435,14942226,65569,6619168,262153,9043972,63,34
2016/02/13/ 20:04:48.82837,1576964,4980874,16646244,13959223,1048624,2490457,15859762,11468838,66,40
2016/02/13/ 20:04:49.80996,1573161,12451984,5439573,7012390,12976180,4456468,7536694,10485769,56,44
2016/02/13/ 20:04:50.81883,1575678,13828611,6488205,7143496,65726,16121977,917549,1507346,63,50
2016/02/13/ 20:04:51.81850,1575568,3998391,4259917,12452070,7274596,3932217,10551373,15990833,47,60
2016/02/13/ 20:04:52.83032,1575513,1245415,4980796,7143530,4915261,11993196,524314,4259866,47,57
2016/02/13/ 20:04:53.80662,1573654,2883677,4390972,3997730,7274515,15007758,3670025,13107203,48,60
2016/02/13/ 20:04:54.80376,1578386,6948394,15859911,14221685,8061257,8913887,655575,2555935,57,56
2016/02/13/ 20:04:55.78916,1574157,1638498,2359301,3604530,3014686,11599936,9830405,7012357,80,54
2016/02/13/ 20:04:56.79252,1573423,3277031,10944546,9437255,5570577,8519727,262149,15663107,70,53
2016/02/13/ 20:04:57.77900,1574223,2556198,2424850,1048688,7209039,13893668,2424841,16515086,74,47
2016/02/13/ 20:04:58.77017,1577712,1509392,14025109,14352565,14287239,8519906,11272292,5046309,56,48
2016/02/13/ 20:04:59.74021,1573486,852088,14549006,327690,13631492,589849,4849671,13369348,44,43
2016/02/13/ 20:05:00.74351,1578620,721440,7012479,2818151,2621465,262235,9306156,13303813,43,43
2016/02/13/ 20:05:01.76117,1574081,9699617,15663199,524314,16056336,13434942,1638446,13041679,50,43
2016/02/13/ 20:05:02.73797,1578442,7080633,12779564,12321083,4784220,6226268,16318594,4980772,51,38
