DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 19:56:42.54940,1575206,16122006,13369456,4849707,12779581,6488145,16252962,9961496,56,60
2016/02/13/ 19:56:43.54945,1578051,721478,3735599,14221394,3211361,524351,9764934,4325396,41,56
2016/02/13/ 19:56:44.53387,1573035,14483507,5373958,16449542,4587526,7405574,196612,7733250,48,41
2016/02/13/ 19:56:45.53392,1573590,15335681,11665470,3670052,16515108,8978444,1376261,1179653,37,43
2016/02/13/ 19:56:46.54959,1576509,5636572,3867097,10813474,7864451,5046381,6029360,14352394,26,47
2016/02/13/ 19:56:47.51839,1577657,12779973,10223639,983221,5243047,917647,16121959,12451887,35,50
2016/02/13/ 19:56:48.53407,1575137,10289231,5963895,10944723,3866643,5505073,13107210,6946820,38,70
2016/02/13/ 19:56:49.50287,1573989,7078031,15925289,15532067,13828158,8323114,5570573,7012354,56,69
2016/02/13/ 19:56:50.53417,1579616,2228331,11862050,4456532,11862107,4980767,7012415,15335440,60,66
2016/02/13/ 19:56:51.54984,1581471,11143304,5046328,917964,16449913,13434964,5570623,4456518,40,64
2016/02/13/ 19:56:52.47176,1577536,2818495,9175493,6291498,11927729,14221406,9175086,8323087,37,54
2016/02/13/ 19:56:53.50306,1579448,2032081,7799076,14877186,328169,11272329,9699405,1769487,30,61
2016/02/13/ 19:56:54.45624,1578692,8650968,14483466,9502837,7012649,8388704,12124186,6553685,40,54
2016/02/13/ 19:56:55.47517,1578860,12583683,2883608,16056458,14549076,12583013,7602211,5111834,51,53
2016/02/13/ 19:56:56.47196,1577980,15401910,3342441,129,11665518,13631582,15138850,1572881,48,41
2016/02/13/ 19:56:57.44076,1573172,12386500,8388678,8650793,16646175,6029330,14352390,6946821,43,38
2016/02/13/ 19:56:58.45644,1575118,15990927,6553671,5308447,9175069,16580624,4128785,4587530,43,38
2016/02/13/ 19:56:59.47211,1576408,5112116,9109589,786474,11599944,15663174,5701653,9961476,37,40
2016/02/13/ 19:57:00.44091,1584855,8914226,8519817,3997772,12321238,9306566,1310857,12845109,48,35
2016/02/13/ 19:57:01.45658,1581597,12453015,10158189,12124485,6553951,327856,1769550,2555949,51,37
2016/02/13/ 19:57:02.42864,1573952,15532228,4063337,3277048,11993313,8519846,10813514,9961518,66,40
2016/02/13/ 19:57:03.39743,1579491,4130087,984587,6488934,5767902,6881705,1310907,12320844,66,40
2016/02/13/ 19:57:04.42873,1576656,13503235,393296,12190028,2490568,852267,6619245,720950,61,30
2016/02/13/ 19:57:05.39753,1578081,6882403,3080600,9306217,11665493,15466637,7602273,11927561,50,44
2016/02/13/ 19:57:06.44446,1580616,8782241,11010134,12189805,1179863,14483587,15532088,13369386,56,47
2016/02/13/ 19:57:07.41326,1573096,10551362,11272230,7667733,6946841,7405576,3735559,16580611,41,47
2016/02/13/ 19:57:08.41331,1575037,14680377,13434886,8519858,15269956,4587572,6488099,11730957,43,56
2016/02/13/ 19:57:09.38207,1574418,9175138,6750230,7733315,9109541,10027025,13631493,15990792,43,60
2016/02/13/ 19:57:10.42900,1573431,12189937,5636232,6881353,15597591,7602271,5242908,9633813,41,66
2016/02/13/ 19:57:11.38217,1574204,15925292,8388622,15269909,6029322,16121862,9502723,13434880,41,66
2016/02/13/ 19:57:12.39784,1573793,5570592,5832720,12058716,4653093,5767197,13500436,4390950,53,70
2016/02/13/ 19:57:13.36664,1574545,6947501,14287108,10158861,15663438,14615124,11665539,13369426,53,70
2016/02/13/ 19:57:14.35106,1577157,9307109,14549037,3997912,16712178,2359539,9699450,16384058,60,63
2016/02/13/ 19:57:15.35111,1583401,3476259,14483644,13435226,12451998,10682857,7143570,1048700,64,51
2016/02/13/ 19:57:16.35116,1573183,3604591,196628,14417957,1769491,3407893,196619,3866628,61,48
2016/02/13/ 19:57:17.35121,1579003,15073582,7667909,1507392,6422632,7471190,13762659,5636121,57,43
2016/02/13/ 19:57:18.36689,1575266,10486263,14811351,15728682,13500497,14876807,14090324,7733264,56,50
2016/02/13/ 19:57:19.35131,1574458,2949437,1376395,7929898,3407912,15925284,14417961,2228234,50,60
2016/02/13/ 19:57:20.30448,1573454,11993184,1769486,11337734,11075587,3473425,6356998,16121859,51,53
2016/02/13/ 19:57:21.32016,1573429,3146078,9961512,13828127,4522100,12779536,14680101,6488070,38,41
2016/02/13/ 19:57:22.30458,1575240,3604693,13566018,2228260,11206720,2490385,2818058,3211272,26,40
2016/02/13/ 19:57:23.30463,1578265,1121349,8454830,5178978,4327417,8521612,12845512,15335518,37,34
2016/02/13/ 19:57:24.32031,1577261,1442548,13107385,6815798,5767372,7733309,1179711,5308424,27,35
2016/02/13/ 19:57:25.30228,1575337,3932507,11665575,2752560,327764,6226114,1245210,262171,50,43
2016/02/13/ 19:57:26.31795,1576482,9048248,11797263,262736,13041999,13370187,1638957,10616921,60,40
2016/02/13/ 19:57:27.30238,1580024,8193976,8061708,1180288,3212166,4063966,16581005,3276879,60,44
2016/02/13/ 19:57:28.30242,1576348,14746601,2490452,10354966,11993232,14352588,2097194,2031667,67,47
2016/02/13/ 19:57:29.27144,1573118,15007846,13238309,5374036,1966116,786455,16252963,7405572,54,54
2016/02/13/ 19:57:30.28869,1576540,7669771,14352595,13697280,7143690,13566056,11272309,3539137,54,54
2016/02/13/ 19:57:31.26119,1580527,6684889,196642,7733287,2293770,65556,14483462,14548995,47,56
2016/02/13/ 19:57:32.25575,1574020,15401519,12451899,1638429,2687004,7405600,13303832,9175048,34,47
2016/02/13/ 19:57:33.25468,1574859,1639670,10682433,2621494,1114325,11796580,10682402,2359343,26,35
2016/02/13/ 19:57:34.24855,1575750,1573103,4391169,16711881,1704054,9502874,7405692,2555945,35,37
2016/02/13/ 19:57:35.21734,1573313,14811296,11141131,14483490,2490391,2228265,8126474,5963781,47,30
2016/02/13/ 19:57:36.24865,1573308,8389063,5243008,14286947,11927566,7077954,13434896,8978448,53,41
2016/02/13/ 19:57:37.24869,1573269,14221385,3866649,8716303,16318482,16384023,9437189,7274508,61,54
2016/02/13/ 19:57:38.21749,1582055,4984180,15860352,10682718,9306432,2424946,4194371,9109553,40,44
2016/02/13/ 19:57:39.21754,1573278,8650847,5570578,3145762,3801106,3407891,13041688,8847374,35,50
2016/02/13/ 19:57:40.21759,1572973,589860,16056322,13041678,3604481,7929863,15925250,8847369,40,50
2016/02/13/ 19:57:41.23327,1573136,5374233,3080339,4587608,2752564,3276936,7864359,3866651,41,53
2016/02/13/ 19:57:42.21769,1572937,10354762,3932171,9502779,12320779,2228249,5242892,12320775,60,61
2016/02/13/ 19:57:43.20211,1573509,80,8716386,4784149,4718617,14352402,524301,3211279,56,69
2016/02/13/ 19:57:44.20216,1575426,1573330,655451,8519774,5242928,5832800,4915220,1245208,56,67
2016/02/13/ 19:57:45.17096,1573885,10879700,13762936,12255295,9961906,10813519,6094952,4259882,43,64
2016/02/13/ 19:57:46.20226,1575693,721029,3014754,7471154,6488079,3014679,7340036,14680068,37,67
2016/02/13/ 19:57:47.15543,1575832,13631910,6422657,2293920,6225978,2818091,7077970,10682393,30,63
2016/02/13/ 19:57:48.17111,1575369,4915417,14876762,7864336,7340061,11010068,6422537,9043973,23,64
2016/02/13/ 19:57:49.15553,1574199,4718885,6357029,4259853,4390918,2293785,1179666,1114122,24,56
2016/02/13/ 19:57:50.17121,1574074,13303879,13893644,1966124,44,11010064,6553610,6225926,29,50
2016/02/13/ 19:57:51.15563,1573822,16384495,3604514,15663272,2162846,12714120,8126564,8192075,43,43
2016/02/13/ 19:57:52.15568,1573367,4259995,5505064,9043990,16384044,7471128,4259869,15794185,48,40
2016/02/13/ 19:57:53.14010,1573204,7537460,1310739,7012359,10616899,13238321,2031636,3080200,47,26
2016/02/13/ 19:57:54.12452,1573795,4784379,17,9043990,5963782,10551313,5767186,983048,37,16
2016/02/13/ 19:57:55.14478,1576718,3080791,5636190,721054,4259997,7929976,3735597,15532075,34,20
2016/02/13/ 19:57:56.12920,1573065,1704506,721000,11599921,11272255,15335484,7471146,11927582,30,17
2016/02/13/ 19:57:57.17613,1574434,13828977,1966297,15401335,11337960,852098,13828132,4128805,37,44
2016/02/13/ 19:57:58.11368,1573088,15728848,14090284,4259941,14221398,7471170,5308444,14942232,48,54
2016/02/13/ 19:57:59.12935,1573491,16253289,7798826,13172764,11010101,5832728,6946837,8978439,38,48
2016/02/13/ 19:58:00.11383,1573155,13500585,6684726,2031630,11534389,7929875,5898265,4653071,38,50
2016/02/13/ 19:58:01.10850,1573018,15204411,15532058,6291480,7602190,16252984,16515082,4784134,54,47
2016/02/13/ 19:58:02.11316,1575011,9634627,12320948,8978569,11599955,2228335,262240,6094863,48,43
2016/02/13/ 19:58:03.11064,1573538,14680111,3473422,5701644,6291458,13828103,11730946,12320769,53,53
2016/02/13/ 19:58:04.06241,1573227,13107378,14614556,12255356,7929926,2555953,10223668,786467,60,57
2016/02/13/ 19:58:05.09371,1573601,1442297,15269947,8912962,2162946,458848,3539002,8126506,48,50
2016/02/13/ 19:58:06.07813,1573935,11665739,3932215,5046294,2621474,6488088,5898270,3473418,44,47
2016/02/13/ 19:58:07.09380,1573413,16712343,12976268,2097288,14155827,7733332,7077941,327697,43,44
2016/02/13/ 19:58:08.09385,1573027,13435838,8847480,9502825,12976291,1048710,6225958,13565995,40,37
2016/02/13/ 19:58:09.09390,1575075,2097252,7405595,8978629,8323489,3735658,10354764,11796506,47,44
2016/02/13/ 19:58:10.07833,1573428,16056577,6029321,4587568,13238304,10551320,11599893,10289158,48,44
2016/02/13/ 19:58:11.09400,1573561,8847487,12517398,5898261,15663150,14483477,12320777,3014660,53,40
2016/02/13/ 19:58:12.07843,1578761,7864477,15728762,10682470,10748112,11534387,9240604,3735580,54,50
2016/02/13/ 19:58:13.04722,1574105,3932552,1310734,16384060,327924,8585313,2752591,9306151,50,38
