Time,0.1~4,4~7.5,8~13,13~30,30~70
2016_02_13_19_56_15_82111,1999283.46380659,1144746.03300888,1381289.88100311,1070033.33694871,779597.893438659
2016_02_13_19_56_19_83693,416260.942420321,255091.886064884,210682.483362402,306855.634456596,288692.40466556
2016_02_13_19_56_23_78911,173315.640183457,145718.139976342,119828.724819588,239096.876468606,264985.401231025
2016_02_13_19_56_27_80414,645549.610676577,322979.443769015,319348.213111556,440102.303144729,260530.77442566
2016_02_13_19_56_31_80431,734499.233014247,751564.429427988,637677.134798157,716421.778675841,520818.263859162
2016_02_13_19_56_35_78888,275766.458444533,244979.92950229,192208.066263685,403033.905921892,363015.767089964
2016_02_13_19_56_39_75239,675711.032365346,526439.154463345,410233.607300956,424283.800481744,412786.325791629
2016_02_13_19_56_43_78383,1243796.37873188,778857.236250682,534637.469577424,782770.0085653,648882.406502227
2016_02_13_19_56_47_75278,667645.604949882,460277.927689436,273068.081297255,493130.557657553,393353.895205496
2016_02_13_19_56_51_75298,1090498.06549907,507738.459192466,541952.56593379,550462.745626941,457462.652355535
2016_02_13_19_56_55_72518,297738.581949295,228873.744613732,187285.827894343,337038.080195629,311508.683686329
2016_02_13_19_56_59_70650,1944794.73164711,961394.477484955,607986.090659704,1146429.30705479,874099.28023711
2016_02_13_19_57_03_72558,1730441.54018759,1144490.29651751,1007263.9994924,1609935.54156289,1229223.75181449
2016_02_13_19_57_07_66327,783518.539665121,496708.637173058,363799.260954498,669621.396792277,520805.576056781
2016_02_13_19_57_11_67906,951264.863116599,817443.344084975,758271.714128466,935896.123669566,649893.354267342
2016_02_13_19_57_15_61675,815787.560616807,711084.851203863,1215955.02158008,1697330.90655641,1004258.58675437
2016_02_13_19_57_19_60132,323607.568292301,355971.299425838,297964.666501005,564318.376933673,594362.391610483
2016_02_13_19_57_23_60152,553859.532100752,650113.380886551,725957.150009768,798869.131314353,617413.222014757
2016_02_13_19_57_27_59927,532896.962822255,607248.737121879,614020.421034332,893418.625467803,550910.983177044
2016_02_13_19_57_31_57370,1466057.2888273,1040488.61058407,695144.2661202,609293.545535963,715944.275268669
2016_02_13_19_57_35_56111,217368.770567678,274407.565788818,190167.977933863,299276.325773615,333470.262302837
2016_02_13_19_57_39_51443,500115.681192738,506910.298319312,271893.690888141,384146.152782922,403026.241161396
2016_02_13_19_57_43_54588,170781.941850735,125171.872888778,124121.683179694,234251.215734764,295035.795175445
2016_02_13_19_57_47_49920,551815.730751873,361094.774330276,197091.826093148,334364.674868797,348213.823212035
2016_02_13_19_57_51_48378,257038.157477924,250591.45564399,169889.767855508,311066.571761838,364888.560007837
2016_02_13_19_57_55_48855,218681.836745107,243473.071641309,220444.195726086,457564.740322932,435505.830055528
2016_02_13_19_57_59_50437,195456.852696454,152931.241982324,179440.338963898,322171.580233841,306197.014473567
